time,ir,red,green,gyro,spo2,hr,temp
16:42:03:758,111218,99795,8457,1,0,0,0
16:42:03:778,111218,99817,8459,1,0,0,0
16:42:03:798,111174,99800,8452,1,0,0,0
16:42:03:818,111054,99750,8454,1,0,0,0
16:42:03:838,110730,99669,8426,1,0,0,0
16:42:03:858,110376,99561,8432,1,0,0,0
16:42:03:878,110168,99509,8400,1,0,0,0
16:42:03:898,110127,99483,8403,1,0,0,0
16:42:03:918,110243,99539,8417,1,0,0,0
16:42:03:938,110309,99554,8404,1,0,0,0
16:42:03:958,110416,99570,8430,1,0,0,0
16:42:03:978,110462,99601,8406,1,0,0,0
16:42:03:998,110484,99579,8429,1,0,0,0
16:42:04:018,110531,99626,8436,1,0,0,0
16:42:04:038,110594,99623,8427,1,0,0,0
16:42:04:058,110721,99657,8449,1,0,0,0
16:42:04:078,110769,99667,8434,1,0,0,0
16:42:04:098,110765,99657,8455,1,0,0,0
16:42:04:118,110766,99678,8444,1,0,0,0
16:42:04:138,110742,99654,8454,1,0,0,0
16:42:04:158,110780,99670,8453,1,0,0,0
16:42:04:178,110753,99665,8442,1,0,0,0
16:42:04:198,110785,99654,8459,1,0,0,0
16:42:04:218,110791,99675,8450,1,0,0,0
16:42:04:238,110917,99541,8568,1,0,0,0
16:42:04:258,110975,99567,8587,1,0,0,0
16:42:04:278,110982,99561,8566,1,0,0,0
16:42:04:298,111026,99573,8581,1,0,0,0
16:42:04:318,111069,99596,8587,1,0,0,0
16:42:04:338,111069,99575,8589,1,0,0,0
16:42:04:358,111095,99605,8590,1,0,0,0
16:42:04:378,111074,99577,8574,1,0,0,0
16:42:04:398,111111,99575,8600,1,0,0,0
16:42:04:418,111128,99609,8588,1,0,0,0
16:42:04:438,111137,99585,8589,1,0,0,0
16:42:04:458,111174,99615,8587,1,0,0,0
16:42:04:478,111152,99591,8575,1,0,0,0
16:42:04:498,111167,99605,8604,1,0,0,0
16:42:04:518,111202,99608,8581,1,0,0,0
16:42:04:538,111210,99610,8598,1,0,0,0
16:42:04:558,111242,99627,8604,1,0,0,0
16:42:04:578,111245,99614,8580,1,0,0,0
16:42:04:598,111295,99633,8602,1,0,0,0
16:42:04:618,111267,99625,8591,1,0,0,0
16:42:04:638,111292,99620,8608,1,0,0,0
16:42:04:658,111289,99636,8615,1,0,0,0
16:42:04:678,111223,99612,8589,1,0,0,0
16:42:04:698,111057,99565,8597,1,0,0,0
16:42:04:718,110790,99478,8564,1,0,0,0
