time,ir,red,hr,spo2,temp
162634297,10278,4885,null,0,0
162634318,10315,4882,null,0,0
162634356,10245,4874,null,0,0
162634375,10230,4739,null,0,0
162634396,10159,4774,null,0,0
162634415,10207,4855,null,0,0
162634436,10282,4793,null,0,0
162634473,10223,4782,null,0,0
162634492,10176,4767,null,0,0
162634511,10256,4824,null,0,0
162634532,10200,4762,null,0,0
162634551,10136,4751,null,0,0
162634589,10224,4851,null,0,0
162634632,10218,4811,null,0,0
162634653,10188,4748,null,0,0
162634691,10146,4827,null,0,0
162634711,10246,4869,null,0,0
162634740,10256,4835,null,0,0
162634764,10108,4752,null,0,0
162634809,10137,4815,null,0,0
162634831,10208,4838,null,0,0
162634849,10149,4748,null,0,0
162634870,10113,4722,null,0,0
162634889,10119,4822,null,0,0
162634927,10211,4809,null,0,0
162634946,10175,4769,null,0,0
162634967,10108,4721,null,0,0
162634986,10204,4849,null,0,0
162635007,10206,4819,null,0,0
162635046,10162,4751,null,0,0
162635065,10114,4799,null,0,0
162635085,10215,4859,null,0,0
162635103,10239,4837,null,0,0
162635124,10196,4756,null,0,0
162635162,10205,4853,null,0,0
162635181,10284,4886,null,0,0
162635202,10244,4798,null,0,0
162635221,10170,4733,null,0,0
162635242,10258,4840,null,0,0
162635280,10215,4778,null,0,0
162635299,10130,4716,null,0,0
162635319,10155,4810,null,0,0
162635341,10140,4769,null,0,0
162635379,10108,4710,null,0,0
162635400,10005,4718,null,0,0
162635420,10010,4716,null,0,0
162635439,9863,4631,null,0,0
162635477,9510,4393,null,0,0
162635502,9300,4351,null,0,0
162635530,9094,4213,null,0,0
162635558,9032,4139,null,0,0
162635596,9022,4217,null,0,0
162635615,9095,4260,null,0,0
162635637,9030,4199,null,0,0
162635655,9006,4181,null,0,0
162635693,8648,4195,null,0,0
162635713,8641,4151,null,0,0
162635734,8383,4075,null,0,0
162635753,8294,4149,null,0,0
162635774,8320,4161,null,0,0
162635812,8250,4174,null,0,0
162635851,8008,4232,null,0,0
162635870,7882,4363,null,0,0
162635891,7508,4344,null,0,0
162635933,7359,4331,null,0,0
162635954,7225,4377,null,0,0
162635975,7233,4606,null,0,0
162635998,7039,4637,null,0,0
162636036,6834,5005,null,0,0
162636057,1929,500,null,0,0
